,tig1,tig1len,tig1_freq,dir2,tig2,tig2len,tig2_freq,dir2,n_barcodes
139,tig00000008_pilon_pilon,61365,21,r,tig00001881_pilon_pilon,677661,27,r,1
140,tig00001881_pilon_pilon,677661,27,f,tig00001324_pilon_pilon,5792244,11,f,1
141,tig00001324_pilon_pilon,5792244,11,r,tig00001881_pilon_pilon,677661,27,r,1
142,tig00001881_pilon_pilon,677661,24,f,tig00001516_pilon_pilon,3946750,22,r,4
143,tig00001516_pilon_pilon,3946750,22,f,tig00001881_pilon_pilon,677661,24,r,4
144,tig00001881_pilon_pilon,677661,27,f,tig00001755_pilon_pilon,1239263,59,f,1
145,tig00001755_pilon_pilon,1239263,59,r,tig00001881_pilon_pilon,677661,27,r,1
146,tig00001888_pilon_pilon,1549486,26,r,tig00002225_pilon_pilon,598717,36,f,8
147,tig00002225_pilon_pilon,598717,36,r,tig00001888_pilon_pilon,1549486,26,f,8
148,tig00001888_pilon_pilon,1549486,33,f,tig00002264_pilon_pilon,249425,5,f,1
149,tig00002264_pilon_pilon,249425,5,r,tig00001888_pilon_pilon,1549486,33,r,1
150,tig00001888_pilon_pilon,1549486,33,r,tig00002381_pilon_pilon,350141,55,f,1
151,tig00002381_pilon_pilon,350141,55,r,tig00001888_pilon_pilon,1549486,33,f,1
152,tig00001888_pilon_pilon,1549486,33,r,tig00000203_pilon_pilon,68898,17,r,1
153,tig00000203_pilon_pilon,68898,17,f,tig00001888_pilon_pilon,1549486,33,f,1
154,tig00001888_pilon_pilon,1549486,33,f,tig00002775_pilon_pilon,276431,13,f,1
155,tig00002775_pilon_pilon,276431,13,r,tig00001888_pilon_pilon,1549486,33,r,1
156,tig00001888_pilon_pilon,1549486,33,r,tig00007627_pilon_pilon,66701,23,r,1
157,tig00007627_pilon_pilon,66701,23,f,tig00001888_pilon_pilon,1549486,33,f,1
158,tig00001888_pilon_pilon,1549486,33,f,tig00000368_pilon_pilon,81863,25,r,1
159,tig00000368_pilon_pilon,81863,25,f,tig00001888_pilon_pilon,1549486,33,r,1
160,tig00001888_pilon_pilon,1549486,33,r,tig00000396_pilon_pilon,58444,13,f,1
161,tig00000396_pilon_pilon,58444,13,r,tig00001888_pilon_pilon,1549486,33,f,1
162,tig00001888_pilon_pilon,1549486,33,r,tig00001171_pilon_pilon,2571389,37,r,1
163,tig00001171_pilon_pilon,2571389,37,f,tig00001888_pilon_pilon,1549486,33,f,1
164,tig00001888_pilon_pilon,1549486,33,f,tig00001241_pilon_pilon,72969,25,f,1
165,tig00001241_pilon_pilon,72969,25,r,tig00001888_pilon_pilon,1549486,33,r,1
166,tig00001889_pilon_pilon,90939,1,f,tig00000634_pilon_pilon,107434,19,r,1
167,tig00000634_pilon_pilon,107434,19,f,tig00001889_pilon_pilon,90939,1,r,1
168,tig00001891_pilon_pilon,549070,21,f,tig00000193_pilon_pilon,81607,13,f,1
169,tig00000193_pilon_pilon,81607,13,r,tig00001891_pilon_pilon,549070,21,r,1
170,tig00001891_pilon_pilon,549070,21,f,tig00983209_pilon_pilon,237388,7,r,1
171,tig00983209_pilon_pilon,237388,7,f,tig00001891_pilon_pilon,549070,21,r,1
172,tig00001891_pilon_pilon,549070,21,f,tig00000830_pilon_pilon,83216,9,r,1
173,tig00000830_pilon_pilon,83216,9,f,tig00001891_pilon_pilon,549070,21,r,1
174,tig00001891_pilon_pilon,549070,21,f,tig00001036_pilon_pilon,82159,23,r,1
175,tig00001036_pilon_pilon,82159,23,f,tig00001891_pilon_pilon,549070,21,r,1
176,tig00001891_pilon_pilon,549070,21,f,tig00001391_pilon_pilon,5539118,71,f,1
177,tig00001391_pilon_pilon,5539118,71,r,tig00001891_pilon_pilon,549070,21,r,1
178,tig00001891_pilon_pilon,549070,21,f,tig00000123_pilon_pilon,105029,17,r,1
179,tig00000123_pilon_pilon,105029,17,f,tig00001891_pilon_pilon,549070,21,r,1
180,tig00001891_pilon_pilon,549070,17,f,tig00001850_pilon_pilon,929366,49,f,5
181,tig00001850_pilon_pilon,929366,49,r,tig00001891_pilon_pilon,549070,17,r,5
182,tig00001892_pilon_pilon,1455054,32,f,tig00001989_pilon_pilon,1187061,50,f,2
183,tig00001989_pilon_pilon,1187061,50,r,tig00001892_pilon_pilon,1455054,32,r,2
184,tig00001892_pilon_pilon,1455054,33,r,tig00000207_pilon_pilon,99094,25,r,1
185,tig00000207_pilon_pilon,99094,25,f,tig00001892_pilon_pilon,1455054,33,f,1
186,tig00001892_pilon_pilon,1455054,32,f,tig00003634_pilon_pilon,56056,20,f,2
187,tig00003634_pilon_pilon,56056,20,r,tig00001892_pilon_pilon,1455054,32,r,2
188,tig00001892_pilon_pilon,1455054,33,r,tig00007707_pilon_pilon,84724,85,r,1
189,tig00007707_pilon_pilon,84724,85,f,tig00001892_pilon_pilon,1455054,33,f,1
190,tig00001892_pilon_pilon,1455054,33,r,tig00000704_pilon_pilon,64236,33,f,1
191,tig00000704_pilon_pilon,64236,33,r,tig00001892_pilon_pilon,1455054,33,f,1
192,tig00001892_pilon_pilon,1455054,33,r,tig00000720_pilon_pilon,81233,11,f,1
193,tig00000720_pilon_pilon,81233,11,r,tig00001892_pilon_pilon,1455054,33,f,1
194,tig00001892_pilon_pilon,1455054,33,r,tig00000796_pilon_pilon,68520,17,r,1
195,tig00000796_pilon_pilon,68520,17,f,tig00001892_pilon_pilon,1455054,33,f,1
196,tig00001892_pilon_pilon,1455054,33,f,tig00000820_pilon_pilon,60063,21,f,1
197,tig00000820_pilon_pilon,60063,21,r,tig00001892_pilon_pilon,1455054,33,r,1
198,tig00001892_pilon_pilon,1455054,33,r,tig00001198_pilon_pilon,73848,23,f,1
199,tig00001198_pilon_pilon,73848,23,r,tig00001892_pilon_pilon,1455054,33,f,1
200,tig00001892_pilon_pilon,1455054,33,r,tig00001386_pilon_pilon,80889,49,f,1
201,tig00001386_pilon_pilon,80889,49,r,tig00001892_pilon_pilon,1455054,33,f,1
202,tig00001892_pilon_pilon,1455054,29,r,tig00001773_pilon_pilon,1001014,9,f,5
203,tig00001773_pilon_pilon,1001014,9,r,tig00001892_pilon_pilon,1455054,29,f,5
204,tig00001895_pilon_pilon,81339,5,f,tig00002443_pilon_pilon,394280,29,f,1
205,tig00002443_pilon_pilon,394280,29,r,tig00001895_pilon_pilon,81339,5,r,1
206,tig00001895_pilon_pilon,81339,5,f,tig00003182_pilon_pilon,110949,35,r,1
207,tig00003182_pilon_pilon,110949,35,f,tig00001895_pilon_pilon,81339,5,r,1
208,tig00001895_pilon_pilon,81339,5,f,tig00001690_pilon_pilon,95927,67,r,1
209,tig00001690_pilon_pilon,95927,67,f,tig00001895_pilon_pilon,81339,5,r,1
210,tig00001903_pilon_pilon,91241,3,r,tig00000072_pilon_pilon,75789,31,f,1
211,tig00000072_pilon_pilon,75789,31,r,tig00001903_pilon_pilon,91241,3,f,1
212,tig00001903_pilon_pilon,91241,3,r,tig00001758_pilon_pilon,59921,37,r,1
213,tig00001758_pilon_pilon,59921,37,f,tig00001903_pilon_pilon,91241,3,f,1
214,tig00001913_pilon_pilon,106527,19,r,tig00002695_pilon_pilon,235620,23,r,1
215,tig00002695_pilon_pilon,235620,23,f,tig00001913_pilon_pilon,106527,19,f,1
216,tig00001913_pilon_pilon,106527,19,r,tig00002775_pilon_pilon,276431,13,f,1
217,tig00002775_pilon_pilon,276431,13,r,tig00001913_pilon_pilon,106527,19,f,1
218,tig00001913_pilon_pilon,106527,19,f,tig00000017_pilon_pilon,53904,9,r,1
219,tig00000017_pilon_pilon,53904,9,f,tig00001913_pilon_pilon,106527,19,r,1
